timestamp,event_value,sensor_value
2019-04-04 12:32:02.917652,scr_off,scr_off_obsrv
2019-04-04 12:53:36.985121,coffee_3,coffee_3_obsrv
2019-04-04 12:57:47.035869,door_off,door_off_obsrv
2019-04-04 13:00:00.000095,cam_off,cam_off_obsrv
2019-04-04 13:00:03.512052,fridge_on,fridge_on_obsrv
2019-04-04 13:00:27.365566,fridge_off,fridge_off_obsrv
2019-04-04 13:01:59.281608,scr_on,scr_on_obsrv
2019-04-04 13:32:35.667483,scr_off,scr_off_obsrv
2019-04-04 14:00:00.000536,cam_on,cam_on_obsrv
2019-04-04 14:00:03.455158,pc_off,pc_off_obsrv
2019-04-04 14:00:04.605360,scr_off,scr_off_obsrv
2019-04-04 14:00:28.526085,fan_on,fan_on_obsrv
2019-04-04 14:02:55.970200,fan_off,fan_off_obsrv
2019-04-04 14:47:14.979099,door_on,door_on_obsrv
2019-04-04 14:47:20.476064,door_off,door_off_obsrv
2019-04-04 14:47:50.383194,door_on,door_on_obsrv
2019-04-04 14:47:56.169554,door_off,door_off_obsrv
2019-04-04 14:49:36.041019,door_on,door_on_obsrv
2019-04-04 14:49:41.111565,door_off,door_off_obsrv
2019-04-04 14:51:32.001380,rang,rang_obsrv
2019-04-04 14:51:37.713785,door_on,door_on_obsrv
2019-04-04 14:51:42.792580,door_off,door_off_obsrv
2019-04-04 15:00:00.000124,cam_off,cam_off_obsrv
2019-04-04 16:00:00.000029,cam_on,cam_on_obsrv
2019-04-04 16:00:04.572791,fan_on,fan_on_obsrv
2019-04-04 16:02:23.974947,fan_off,fan_off_obsrv
2019-04-04 16:04:39.083084,pc_on,pc_on_no_obsrv
2019-04-04 16:04:40.113620,scr_on,scr_on_obsrv
2019-04-04 16:23:34.245831,light_off,light_off_obsrv
2019-04-04 16:30:42.983186,scr_off,scr_off_obsrv
2019-04-04 16:47:09.688067,door_on,door_on_obsrv
2019-04-04 16:47:17.998873,door_off,door_off_obsrv
2019-04-04 17:00:00.000541,cam_off,cam_off_obsrv
